domain,summary,registrationDate,availability,slug,category,minOfferPrice,premium,domainScript,richSummaryTitle,richSummaryIntro,richSummaryBullets,useCasesTitle,useCasesSummary,useCases,idnDisplay,seoTitle,seoDescription,ogTitle,ogDescription,featuredImage
ホテルズ.com,世界中のホテルを簡単予約。最安値保証付き。,2018-03-15,open,hotels-com,ホテル・宿泊,5000000,true,latin,グローバルホテル予約プラットフォーム,世界170万軒以上のホテルから選べる予約サイト。日本語対応で安心。,24時間日本語サポート|最安値保証|会員限定割引|無料キャンセル対応,このドメインの活用シーン,ホテルズ.comは多様なビジネスで即戦力となるドメインです。,ホテル予約サイト|旅行代理店|宿泊施設比較サービス|法人向け出張手配,ホテルズ.com,ホテルズ.com - ホテル予約,世界中のホテルを最安値で予約。日本語対応。,ホテルズ.com｜公式,最大40%割引。世界のホテルを簡単予約。,team_pix.png
diamonds.jp,高級ダイヤモンド専門のオンラインマーケットプレイス,2015-06-20,open,diamonds-jp,ラグジュアリー,8000000,true,latin,プレミアムダイヤモンド取引所,GIA認定の最高品質ダイヤモンドのみ取り扱い。信頼と実績のブランド。,30日間返品保証|無料鑑定書|完全保証|GIA認定石のみ,このドメインの活用シーン,diamonds.jpは高級市場で強い訴求力を持つドメインです。,ジュエリー販売|ダイヤモンド投資|婚約指輪専門店|オークション,,diamonds.jp - ダイヤモンド,最高品質のダイヤモンドを厳選。完全保証付き。,Diamonds.jp,信頼のダイヤモンド専門店,portrait_3072x1536.png
boston.jp,ボストンの観光・ビジネス・教育の総合ポータル,2012-09-01,open,boston-jp,旅行・観光,3000000,true,latin,ボストン市公式情報サイト,MIT・ハーバード周辺の最新情報を網羅。ボストンの魅力を発信。,観光スポット案内|大学情報|ビジネスディレクトリ|イベント情報,boston.jpを選ぶ理由,boston.jpは多様なビジネスシーンで即戦力となるドメインです。,観光案内|教育ポータル|ビジネスディレクトリ|不動産情報,,boston.jp - ボストン総合情報,ボストンの観光、教育、ビジネス情報を網羅。,ボストン総合ガイド,アメリカ・ボストンの情報サイト,photo_picture_scene.png
ボストン.jp,ボストン日本語情報サイト,2012-09-01,open,boston-jp-ja,旅行・観光,3000000,false,japanese,ボストン日本語ガイド,在住日本人向けの生活情報サイト。地域密着の情報を日本語で提供。,日本食レストラン|日系企業|日本人コミュニティ|生活ガイド,このドメインの活用シーン,ボストン.jpは日本語ドメインで信頼感のあるブランドです。,日本人向けサービス|生活情報|コミュニティサイト|教育相談,ボストン.jp,ボストン.jp - 日本語情報,ボストン在住日本人のための総合情報サイト,ボストン日本語ガイド,現地日本人コミュニティ情報,
london.jp,ロンドン観光・ビジネス総合ポータル,2010-04-10,open,london-jp,旅行・観光,2500000,false,latin,ロンドン総合情報サイト,英国ロンドンの最新情報を日本語で提供。旅行から移住まで。,観光名所|ショッピング|グルメ情報|イベント案内,london.jpを選ぶ理由,london.jpはロンドン関連ビジネスに最適なドメインです。,観光ポータル|ビジネス情報|留学案内|不動産,,london.jp - ロンドン情報,ロンドンの観光・ビジネス・生活情報,ロンドンガイド,英国ロンドンの総合情報,
ロンドン.jp,ロンドン日本語総合サイト,2010-04-10,open,london-jp-ja,旅行・観光,2500000,false,japanese,ロンドン日本語ポータル,在英日本人のための生活情報。仕事、住居、教育の総合ガイド。,日系ビジネス|日本食|コミュニティ情報|教育機関,このドメインの活用シーン,ロンドン.jpは在英日本人コミュニティ向けのブランドです。,日本人向けサービス|現地情報|コミュニティ|移住支援,ロンドン.jp,ロンドン.jp - 在英日本人,ロンドン在住日本人のための情報サイト,ロンドン日本人向け,在英日本人の生活ガイド,
rome.jp,ローマ観光ガイド,2014-11-25,open,rome-jp,旅行・観光,1800000,false,latin,ローマ観光公式サイト,永遠の都ローマの魅力を日本語で紹介。歴史と美食の街。,バチカン情報|コロッセオ|美術館ガイド|グルメ情報,rome.jpを選ぶ理由,rome.jpはイタリア旅行関連ビジネスに最適なドメインです。,観光案内|ホテル予約|レストランガイド|ツアー企画,,rome.jp - ローマ観光,ローマの観光スポット・グルメ・ホテル情報,ローマ旅行ガイド,イタリア・ローマ完全ガイド,
海外ホテル.jp,海外ホテル専門予約サイト,2016-02-14,open,kaigai-hotel-jp,ホテル・宿泊,2200000,false,japanese,海外ホテル予約センター,世界中のホテルを日本語で簡単予約。安心の日本語サポート付き。,現地払いOK|キャンセル無料|24時間サポート|日本語対応,このドメインの活用シーン,海外ホテル.jpは旅行業界で強い訴求力を持つドメインです。,ホテル予約|ビジネス出張|海外旅行|団体旅行手配,海外ホテル.jp,海外ホテル.jp - 予約サイト,世界のホテルを日本語で予約。安心サポート付き,海外ホテル予約,グローバルホテル予約サービス,
激安ホテル.com,格安ホテル専門予約サイト,2017-07-30,open,gekiyasu-hotel,ホテル・宿泊,1500000,false,japanese,激安ホテル予約センター,最大80%割引の格安ホテル専門サイト。お得に宿泊。,直前割引|長期割引|グループ割引|早期予約特典,このドメインの活用シーン,激安ホテル.comは格安宿泊市場で最適なブランドです。,格安宿泊|ビジネスホテル|カプセルホテル|民泊サービス,激安ホテル.com,激安ホテル.com - 格安予約,日本全国の格安ホテルを最安値で予約,激安ホテル検索,お得な宿泊プラン満載,
paradise.jp,楽園リゾート総合サイト,2013-05-18,open,paradise-jp,旅行・観光,4500000,false,latin,パラダイスリゾートガイド,世界の楽園リゾート地を紹介。夢のバケーションを実現。,ビーチリゾート|山岳リゾート|温泉リゾート|島旅ガイド,paradise.jpを選ぶ理由,paradise.jpはリゾート・旅行業界で強いブランド力を持ちます。,リゾート予約|ハネムーン|バケーション|ウェディング,,paradise.jp - リゾート,世界の楽園リゾート地情報とホテル予約,パラダイスリゾート,夢のバケーション情報,
レゲエ.jp,レゲエ音楽総合ポータル,2011-08-22,open,reggae-jp,音楽・エンターテインメント,1200000,false,japanese,日本レゲエポータルサイト,日本のレゲエシーンを完全網羅。最新ニュースとイベント情報。,アーティスト情報|イベント情報|新譜リリース|ライブレポート,このドメインの活用シーン,レゲエ.jpは音楽メディア・イベント業界に最適です。,音楽配信|イベント情報|アーティスト管理|グッズ販売,レゲエ.jp,レゲエ.jp - 日本レゲエ,日本のレゲエシーン最新情報とイベント案内,レゲエジャパン,日本レゲエポータル,
ヒップホップ.jp,日本ヒップホップ総合サイト,2009-12-05,open,hiphop-jp,音楽・エンターテインメント,1800000,false,japanese,日本ヒップホップポータル,日本のHIPHOPカルチャーを発信。MC・DJ・ダンスの総合情報。,MC情報|DJ情報|グラフィティ|ブレイクダンス,このドメインの活用シーン,ヒップホップ.jpはHIPHOP文化の発信拠点に最適です。,音楽メディア|イベント企画|アーティスト管理|ストリート文化,ヒップホップ.jp,ヒップホップ.jp - HIPHOP,日本のヒップホップシーン最新情報,HIPHOP JAPAN,日本のHIPHOPカルチャー,
